Symbol,Day5,Day7,Day14,Day21,Day28,Day35,Day42,Day49,Day56,Day63,Day70
CG18557,0.266018,0.096399,0.554009,0.986936,0.365257,0.065168,4.188399,4.680096,8.366958,14.044195,10.27905
CG3117,0.221068,0.226706,0,0.35347,0.326957,0.030569,0.481119,2.927632,9.365198,12.550758,10.773105
CG3104,13.642005,11.2935,9.855671,9.765221,12.16166,12.6141,13.502402,12.47745,8.93191,9.912394,9.308754
CG2991,197.2368,169.6362,178.1135,147.5074,184.2387,201.6447,172.1208,156.8065,102.1693,104.7273,122.1625
CG8814,143.496,155.1168,189.1097,151.1407,123.98405,138.93315,90.76689,101.31754,81.84243,83.49335,87.60161
CG17224,83.69673,62.86971,64.09181,78.77475,86.2562,80.82519,92.84585,110.12835,108.71508,164.7788,136.85295
CG17264,5.449306,5.620835,7.215219,7.3462,9.34012,10.623085,12.615811,15.06232,20.01564,20.55088,18.407155
ND-B14.5B,276.0515,131.4113,101.20345,96.23416,83.43108,88.10809,60.77484,66.82861,70.07406,114.79829,58.87626
CG3332,45.72404,55.07934,48.9498,51.66136,42.21319,38.12667,33.9937,33.92228,27.73539,29.05272,28.24929
CG9664,30.79679,21.52242,16.95779,24.73762,21.89376,23.57079,21.12176,25.65095,23.26813,21.01581,24.76825
CG3277,20.59897,21.53308,26.0736,22.3357,22.62786,27.2722,22.01461,17.82178,14.28838,11.02491,15.52154
CG15412,61.29588,38.93829,20.98783,17.77059,21.76629,18.65655,14.09085,14.00713,10.03776,10.89992,10.59887
CG17593,121.19281,108.12946,123.53816,114.03724,82.66205,79.77859,68.15208,79.55,71.12816,91.30803,71.59185
CG16704,34.21018,18.32334,16.15328,19.98551,19.85724,24.23327,19.3841,28.39879,29.03924,57.68056,35.12234
CG16713,98.18332,67.04488,65.84529,80.26134,70.23818,44.70822,93.31283,104.12641,104.68369,180.7924,115.9378
CG3604,4.714606,13.32272,13.148059,29.421865,17.13853,7.574332,43.157425,55.85951,47.229895,64.08591,56.293855
bark,121.1105,114.417,136.4299,123.7977,134.9228,139.4847,146.9476,138.8476,131.2831,141.0409,162.8369
CG3714,247.9851,236.6518,273.1791,207.4446,212.1325,247.2113,171.5258,181.4751,143.3597,139.9376,161.5185
Dim1,13.079069,12.045635,10.980182,11.185165,7.893751,8.073469,7.580486,10.487355,8.787009,10.075757,8.301685
CG15630,8.361456,7.865455,6.919217,6.043965,9.68328,8.77154,12.145095,8.117429,8.31386,6.780503,7.986302
Clect27,84.64883,45.48484,55.12872,49.37716,40.32475,37.57201,41.32299,39.34707,46.26503,41.06441,35.47168
Ir25a,2.097921,2.780707,2.877841,2.692948,2.950327,3.675952,3.007114,2.576392,3.333517,3.237974,3.540437
tank,51.50417,47.78807,54.31081,48.26534,47.59103,50.6762,38.02408,42.91492,37.57377,43.21455,39.2105
mRpS2,14.93752,15.12846,19.86154,19.72946,15.97514,17.18423,13.9642,15.46162,13.08949,16.26996,11.84221
CG3008,97.90905,91.44182,106.77755,106.41788,121.2223,214.4399,126.1336,142.4165,117.79065,144.80975,146.67685
CG3036,295.2159,309.2376,280.0225,300.7194,256.5387,258.8752,245.0574,261.2266,206.3308,188.3998,217.9448
CG2837,2.895976,2.694965,1.398865,2.882701,0.940256,1.977551,1.666159,1.331056,1.050032,1.325701,1.247968
mRpL24,40.90259,32.63943,30.89003,30.04894,27.94712,24.388,20.32248,21.36758,21.94694,22.46734,21.09902
Jon25Biii,816.7764,385.26795,306.77235,285.3567,171.0031,187.2482,69.93027,82.81543,116.1355,116.58579,90.6271
Jon25Bii,366.52805,142.0744,88.25084,55.97604,43.30742,47.30054,28.99679,20.87794,33.10506,19.50198,12.66372
mRpL28,95.07587,68.1282,56.91371,65.39562,52.32494,50.75265,42.04201,49.43782,47.78295,49.87724,45.54999
senju,14.18586,25.0262,25.02037,24.6306,17.90657,13.86498,16.32426,17.14129,13.77533,10.88232,11.74774
CG4230,43.58475,43.02498,40.44233,36.79344,36.72817,38.34546,29.58798,24.57635,25.99956,21.95789,25.93193
ND-13A,158.96421,128.83822,106.75019,104.74973,86.11485,96.37314,65.36198,73.17861,66.89219,71.75959,56.7274
Cyp28d1,311.7643,182.3116,222.4109,235.3536,218.9727,284.5901,165.2104,180.756,181.6536,191.2255,234.2374
Cyp4ac1,86.93962,73.01305,83.4808,80.06209,62.15783,58.26979,48.02494,57.62967,40.48071,34.72751,37.33949
Cyp4ac3,15.05754,15.46416,19.60855,24.64241,23.0561,32.08156,26.29,22.56088,17.46376,19.522,23.84001
CG14024,1.361769,2.202314,2.686692,1.895765,1.52297,2.816676,3.334822,1.905016,2.86831,2.199784,2.178382
CG14022,102.28827,69.57919,36.68695,37.51892,32.92212,31.45788,24.98621,23.1252,15.30515,16.96942,14.86889
TotM,7.228896,8.568342,5.35792,8.394143,12.047307,36.884093,28.966045,276.074995,23.689447,195.240325,54.805457
CG12512,110.5144,111.21147,104.53106,106.73894,93.79269,103.94974,78.5463,81.39146,69.92393,60.73776,69.65117
CG14015,6.987193,4.613412,4.047562,3.602109,2.828483,3.035376,3.216537,2.395246,2.559938,2.54532,2.163485
CG7236,3.338112,1.836904,1.940503,1.614335,1.814712,2.138456,1.70504,1.493374,1.439469,0.871196,1.354699
CG11147,378.5498,408.0692,357.1055,388.5697,280.639,218.7844,269.6416,262.275,198.1992,205.6793,217.2995
CG11034,62.13086,93.55033,74.92252,98.87798,61.12709,47.23477,54.22935,53.9315,55.15566,46.63004,33.53165
rau,3.456009,6.094432,6.025028,4.567643,6.582066,6.481523,9.0682,9.303709,7.71438,7.013157,10.22691
