FBgn,Dependent,Source,DF,SS,MS,FValue,ProbF
FBgn0000384,Expression,Error,66,26921,408,_,_
FBgn0000384,Expression,Corrected Total,131,239112,_,_,_
FBgn0000394,Expression,Model,65,4879,75,10.65,1.60459E-18
FBgn0000394,Expression,Error,66,465,7,_,_
FBgn0000394,Expression,Corrected Total,131,5344,_,_,_
FBgn0000395,Expression,Model,65,43657,672,21.04,4.59029E-27
FBgn0000395,Expression,Error,66,2107,32,_,_
FBgn0000395,Expression,Corrected Total,131,45764,_,_,_
FBgn0000404,Expression,Model,65,73421808,1129566,26.25,5.55063E-30
FBgn0000404,Expression,Error,66,2839976,43030,_,_
FBgn0000404,Expression,Corrected Total,131,76261785,_,_,_
FBgn0000405,Expression,Model,65,117080740,1801242,31.22,2.65885E-32
FBgn0000405,Expression,Error,66,3808163,57699,_,_
FBgn0000405,Expression,Corrected Total,131,120888902,_,_,_
FBgn0000406,Expression,Model,65,14324390,220375,8.00,3.41460E-15
FBgn0000406,Expression,Error,66,1818961,27560,_,_
FBgn0000406,Expression,Corrected Total,131,16143350,_,_,_
FBgn0000411,Expression,Model,65,6393,98,6.14,2.48210E-12
FBgn0000411,Expression,Error,66,1057,16,_,_
FBgn0000411,Expression,Corrected Total,131,7450,_,_,_
FBgn0000412,Expression,Model,65,860060,13232,13.95,8.18023E-22
FBgn0000412,Expression,Error,66,62594,948,_,_
FBgn0000412,Expression,Corrected Total,131,922654,_,_,_
FBgn0000414,Expression,Model,65,654002,10062,12.43,2.16894E-20
FBgn0000414,Expression,Error,66,53407,809,_,_
FBgn0000414,Expression,Corrected Total,131,707409,_,_,_
FBgn0000416,Expression,Model,65,20442329,314497,9.08,1.20251E-16
FBgn0000416,Expression,Error,66,2285181,34624,_,_
FBgn0000416,Expression,Corrected Total,131,22727510,_,_,_
FBgn0000422,Expression,Model,65,274189,4218,11.77,1.01048E-19
FBgn0000422,Expression,Error,66,23652,358,_,_
FBgn0000422,Expression,Corrected Total,131,297841,_,_,_
FBgn0000426,Expression,Model,65,45639,702,21.27,3.29626E-27
FBgn0000426,Expression,Error,66,2178,33,_,_
FBgn0000426,Expression,Corrected Total,131,47817,_,_,_
FBgn0000427,Expression,Model,65,42448327,653051,30.01,9.03538E-32
FBgn0000427,Expression,Error,66,1436315,21762,_,_
FBgn0000427,Expression,Corrected Total,131,43884642,_,_,_
FBgn0000439,Expression,Model,65,73582,1132,21.20,3.67323E-27
FBgn0000439,Expression,Error,66,3525,53,_,_
FBgn0000439,Expression,Corrected Total,131,77107,_,_,_
FBgn0000442,Expression,Model,65,73,1,7.71,8.79397E-15
FBgn0000442,Expression,Error,66,10,0,_,_
FBgn0000442,Expression,Corrected Total,131,82,_,_,_
FBgn0000447,Expression,Model,65,492986,7584,7.57,1.39069E-14
FBgn0000447,Expression,Error,66,66119,1002,_,_
FBgn0000447,Expression,Corrected Total,131,559105,_,_,_
FBgn0000448,Expression,Model,65,2325,36,10.73,1.32514E-18
FBgn0000448,Expression,Error,66,220,3,_,_
FBgn0000448,Expression,Corrected Total,131,2545,_,_,_
FBgn0000449,Expression,Model,65,994,15,2.27,5.55767E-04
FBgn0000449,Expression,Error,66,445,7,_,_
FBgn0000449,Expression,Corrected Total,131,1439,_,_,_
FBgn0000451,Expression,Model,65,697,11,3.51,4.38201E-07
FBgn0000451,Expression,Error,66,202,3,_,_
